code,name,market,year,cash_div,stock_div,total_div
2408,南亞科,TWSE,2015,1.9984,0.0,1.9984
2408,南亞科,TWSE,2016,2.8,0.0,2.8
2408,南亞科,TWSE,2017,1.5,0.0,1.5
2408,南亞科,TWSE,2018,3.5087,0.0,3.5087
2408,南亞科,TWSE,2019,7.1105,0.0,7.1105
2408,南亞科,TWSE,2020,1.4973,0.0,1.4973
2408,南亞科,TWSE,2021,1.2966,0.0,1.2966
2408,南亞科,TWSE,2022,3.7028,0.0,3.7028
2408,南亞科,TWSE,2023,2.1304,0.0,2.1304
2408,南亞科,TWSE,2026,1.3471,0.0,1.3471
2330,台積電,TWSE,2015,4.4999,0.0,4.4999
2330,台積電,TWSE,2016,6.0,0.0,6.0
2330,台積電,TWSE,2017,7.0,0.0,7.0
2330,台積電,TWSE,2018,8.0,0.0,8.0
2330,台積電,TWSE,2019,12.5,0.0,12.5
2330,台積電,TWSE,2020,10.0,0.0,10.0
2330,台積電,TWSE,2021,10.5,0.0,10.5
2330,台積電,TWSE,2022,11.0,0.0,11.0
2330,台積電,TWSE,2023,11.4996,0.0,11.4996
2330,台積電,TWSE,2024,14.9994,0.0,14.9994
2330,台積電,TWSE,2025,19.0001,0.0,19.0001
2330,台積電,TWSE,2026,19.0001,0.0,19.0001
2344,華邦電,TWSE,2016,0.1,0.0,0.1
2344,華邦電,TWSE,2017,0.6,0.0,0.6
2344,華邦電,TWSE,2018,1.0,0.0,1.0
2344,華邦電,TWSE,2019,1.0,0.0,1.0
2344,華邦電,TWSE,2020,0.1,0.0,0.1
2344,華邦電,TWSE,2021,0.2,0.0,0.2
2344,華邦電,TWSE,2022,1.0,0.0,1.0
2344,華邦電,TWSE,2023,1.0,0.0,1.0
2344,華邦電,TWSE,2024,0.0,0.0,0.0
2344,華邦電,TWSE,2026,0.5,0.0,0.5
1303,南亞,TWSE,2015,2.3,0.0,2.3
1303,南亞,TWSE,2016,3.3,0.0,3.3
1303,南亞,TWSE,2017,4.5,0.0,4.5
1303,南亞,TWSE,2018,5.1,0.0,5.1
1303,南亞,TWSE,2019,5.0,0.0,5.0
1303,南亞,TWSE,2020,2.2,0.0,2.2
1303,南亞,TWSE,2021,2.4,0.0,2.4
1303,南亞,TWSE,2022,7.5,0.0,7.5
1303,南亞,TWSE,2023,3.0,0.0,3.0
1303,南亞,TWSE,2024,0.7,0.0,0.7
1303,南亞,TWSE,2025,0.7,0.0,0.7
1303,南亞,TWSE,2026,0.8,0.0,0.8
2327,國巨*,TWSE,2015,4.0002,0.0,4.0002
2327,國巨*,TWSE,2016,2.0,0.0,2.0
2327,國巨*,TWSE,2017,3.0,0.0,3.0
2327,國巨*,TWSE,2018,14.8648,1.9812,16.8459
2327,國巨*,TWSE,2019,44.8349,0.0,44.8349
2327,國巨*,TWSE,2020,13.0617,0.0,13.0617
2327,國巨*,TWSE,2021,10.0813,0.0,10.0813
2327,國巨*,TWSE,2022,10.1028,0.0,10.1028
2327,國巨*,TWSE,2023,9.9938,0.0,9.9938
2327,國巨*,TWSE,2024,19.9724,1.9484,21.9207
2327,國巨*,TWSE,2025,19.995,0.0,19.995
2327,國巨*,TWSE,2026,5.9985,0.0,5.9985
2454,聯發科,TWSE,2015,21.9999,0.0,21.9999
2454,聯發科,TWSE,2016,11.0,0.0,11.0
2454,聯發科,TWSE,2017,9.5,0.0,9.5
2454,聯發科,TWSE,2018,10.0,0.0,10.0
2454,聯發科,TWSE,2019,9.0,0.0,9.0
2454,聯發科,TWSE,2020,10.5009,0.0,10.5009
2454,聯發科,TWSE,2021,37.0,0.0,37.0
2454,聯發科,TWSE,2022,73.0011,0.0,73.0011
2454,聯發科,TWSE,2023,76.0066,0.0,76.0066
2454,聯發科,TWSE,2024,55.0053,0.0,55.0053
2454,聯發科,TWSE,2025,54.0002,0.0,54.0002
2454,聯發科,TWSE,2026,53.5002,0.0,53.5002
3008,大立光,TWSE,2015,51.0,0.0,51.0
3008,大立光,TWSE,2016,63.5,0.0,63.5
3008,大立光,TWSE,2017,63.5,0.0,63.5
3008,大立光,TWSE,2018,72.5,0.0,72.5
3008,大立光,TWSE,2019,68.0,0.0,68.0
3008,大立光,TWSE,2020,79.0,0.0,79.0
3008,大立光,TWSE,2021,91.5,0.0,91.5
3008,大立光,TWSE,2022,109.6561,0.0,109.6561
3008,大立光,TWSE,2023,72.5,0.0,72.5
3008,大立光,TWSE,2024,81.0,0.0,81.0
3008,大立光,TWSE,2025,85.5,0.0,85.5
3008,大立光,TWSE,2026,93.5,0.0,93.5
2303,聯電,TWSE,2015,0.5497,0.0,0.5497
2303,聯電,TWSE,2016,0.565,0.0,0.565
2303,聯電,TWSE,2017,0.5,0.0,0.5
2303,聯電,TWSE,2018,0.7116,0.0,0.7116
2303,聯電,TWSE,2019,0.5899,0.0,0.5899
2303,聯電,TWSE,2020,0.804,0.0,0.804
2303,聯電,TWSE,2021,1.5999,0.0,1.5999
2303,聯電,TWSE,2022,3.0,0.0,3.0
2303,聯電,TWSE,2023,3.6005,0.0,3.6005
2303,聯電,TWSE,2024,3.0001,0.0,3.0001
2303,聯電,TWSE,2025,2.8502,0.0,2.8502
2303,聯電,TWSE,2026,2.6081,0.0,2.6081
3189,景碩,TWSE,2015,4.0,0.0,4.0
3189,景碩,TWSE,2016,3.5,0.0,3.5
3189,景碩,TWSE,2017,3.0,0.0,3.0
3189,景碩,TWSE,2018,1.5,0.0,1.5
3189,景碩,TWSE,2019,1.4991,0.0,1.4991
3189,景碩,TWSE,2020,1.0004,0.0,1.0004
3189,景碩,TWSE,2021,1.0,0.0,1.0
3189,景碩,TWSE,2022,4.5,0.0,4.5
3189,景碩,TWSE,2023,6.4756,0.0,6.4756
