code,name,market,price,latest_paid_year,latest_paid_total_div,current_yield_pct,sum_5y_div,avg_5y_yield_pct,years_5y,years_10y,pass_10y_rule
8422,可寧衛*,TWSE,29.45,2026,1.2,4.07,49.929,33.91,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
3056,富華新,TWSE,14.65,2026,0.61,4.16,20.41,27.86,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
6294,智基,TPEX,39.3,2026,3.0,7.63,39.6,20.15,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
8437,大地-KY,TPEX,12.5,2025,1.018,8.14,11.668,18.67,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
5508,永信建,TPEX,51.6,2026,2.776,5.38,43.482,16.85,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
3373,熱映,TPEX,17.05,2026,1.1,6.45,14.0,16.42,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
2227,裕日車,TWSE,55.5,2025,3.9,7.03,42.19,15.2,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
1808,潤隆,TWSE,30.05,2025,2.0,6.66,21.9,14.58,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
5015,華祺,TPEX,24.45,2026,0.5,2.04,16.3,13.33,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
6195,詩肯,TPEX,24.5,2026,1.0,4.08,15.238,12.44,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
5604,中連,TPEX,34.5,2026,2.0,5.8,20.35,11.8,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
2430,燦坤,TWSE,21.75,2026,0.8,3.68,12.79,11.76,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
1436,華友聯,TWSE,52.8,2026,5.048,9.56,30.668,11.62,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
1338,廣華-KY,TWSE,16.05,2026,0.3,1.87,9.275,11.56,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
2108,南帝,TWSE,26.05,2026,1.0,3.84,15.0,11.52,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
1325,恆大,TWSE,27.05,2025,0.3,1.11,15.4,11.39,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
6221,晉泰,TPEX,27.6,2026,1.2,4.35,15.488,11.22,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
3592,瑞鼎,TWSE,239.5,2026,14.6,6.1,133.9,11.18,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
4736,泰博,TWSE,125.5,2026,6.0,4.78,66.34,10.57,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
1565,精華,TPEX,108.5,2026,5.8,5.35,57.0,10.51,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
9914,美利達,TWSE,60.9,2026,2.8,4.6,32.0,10.51,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
8481,政伸,TWSE,42.1,2026,2.75,6.53,21.85,10.38,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
8163,達方,TWSE,28.15,2026,0.5,1.78,14.5,10.3,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
6176,瑞儀,TWSE,90.9,2026,3.5,3.85,46.61,10.26,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
4557,永新-KY,TWSE,53.6,2026,2.0,3.73,27.5,10.26,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
0052,富邦科技,TWSE,50.05,2026,1.199,2.4,24.882,9.94,"2021,2022,2023,2024,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",True
